Nume autor,Număr cuvinte
ASIMINEI Constantin,1944
ASLAN Isaia C .,1959
ASTALOŞ George,3900
AVRAMESCU Mihai,3241
APOLZAN Mioara,2720
ARACHELIAN Vartan,1963
ARAIA Zicu A .,1655
ARCADE L.M .,4184
ARCAN Sofia,2662
CONSTANTINESCU Vasile,3705
CONTA Vasile,3024
CORBU Daniel,3854
CORCEA Avram,1539
BOTENI Ion,1808
BOTEZ-RAREŞ George Emil,1621
BOTIŞ-CIOBANU Maria,2049
BOTTA Dan,10387
BOERESCU Costache,704
BOERESCU Dan-Silviu,2862
BOERIU Eta,3797
BOGA L.T . Leonida T. ( Nida ),2680
BOGDAN Ioan,7884
BONCIU H .,7680
BONDI Dinu,1727
BORDEIANU Leo,971
BOS Jan Willem,3490
BREAZU Ion,3658
BREZIANU Andrei,4361
BREZIANU Barbu,3312
CUNESCU Gheorghe,1453
CURTICĂPEANU Doina,4585
BOLDUR Anda,1168
BOLDUREANU Ioan Viorel,2610
BREZULEANU Ana-Maria,4341
BRILL Tony,1708
BUCIU Marian Victor,3195
BOŢU Pavel,1074
BÖZÖDI György,593
BRAN Petru,820
BRANCOVICI Gheorghe,3125
BOGREA Vasile,4706
BUJOREANU Ioan M .,2454
BARBU Ion,69005
BARCAROIU Constantin,1910
BARONZI George,4402
BAROS Linda Maria,1614
BART Jean,8788
BAȘTOVOI Ștefan,6751
CARADA Eugeniu,1878
CARAGIALE Luca Ion,4162
CARAGIALE Mateiu I .,23634
CARAGIALI Costache,2199
CARAMAN Petru,10351
CARATANĂ Nicolae,2578
CARCALECHI Zaharia,1465
ALBALA Radu,4158
ALBU Florenţa,6474
ALBU Mihaela,3459
ALBULESCU Mircea,1574
ALEXANDRESCU Matei,6548
ALEXANDRU Ioan,14395
DIMA Simona-Grazia,3114
DIMITRIU Gheorghe,863
DIMITRIU Ştefan,4009
DIMOV Leonid,17706
ALEXICI Gheorghe,3206
ALEXIU Lucian,3156
ALMAŞ Dumitru,6230
ALMĂJAN Ion Marin,3009
BATZARIA Nicolae,7390
DIACONOVICI-LOGA Constantin,1741
DIACONU Dana,4305
CÂRDU Petru,6025
CEARA George,2544
CEARA Ilie A .,1631
CELAC Silvia,2339
CERNA-RĂDULESCU Al . Alexandru ,2592
CETEA Doina,1617
CHILARU Ion,832
CHINDRIŞ Ioan,5306
DELEANU Liviu,1088
DENSUŞIANU Aron,5186
CÂMPEANU Pavel,2565
CONSTANT Eugen,4160
CONSTANT Paul,5007
CONSTANTE Lena,3385
CONSTANTINESCU Barbu,715
CONSTANTINESCU Dan,2853
CONSTANTINESCU Nicolae,5069
BĂNESCU Nicolae,1268
BĂNUŢ Aurel P .,5608
BĂRAN Vasile,2148
BĂRBULESCU Ilie,1306
BĂRBULESCU Marta,1380
BĂRGĂUANU Gheorghe,2623
BĂRNUŢIU Simion,3175
BÂRLĂDEANU Lucreţia,1017
DONOSE Vicenţiu,5413
DORA D ’ ISTRIA,6145
DORIAN Emil,3551
CIUBOTARU Mihail I .,4595
BÂRLEA Petre Gheorghe,2510
BÂRNA Vlaicu,5280
BÂRSILĂ Mircea,5728
BELDEANU Adrian,3761
ANTONESCU George,2221
ANTONESCU Nae,2851
ANTONIU Corneliu,1834
DIONISIE Romano,3048
DOBRESCU Alexandru,7736
DOBRESCU Marius,2194
DOBROTă Eugeniu,1533
COJOCARU Dragoş,1243
COJOCARU Dragoș,3817
CONDIESCU N.M. Nicolae M . ,4104
CLAUDIAN Alexandru,2729
COBAN Nicolae,2160
DOLÂNGĂ Nicolae,1009
COVACI Aurel,1760
COVACI Ion,1547
CRAINIC Nichifor,13717
CRĂCIUN Gheorghe,20161
BLAJEVICI Teoctist,1579
BLANK Aristide,3533
CREANGĂ Ion,27266
DUŢESCU Dan,2873
DUŢESCU Mihai,3624
CORLACIU Ben,5497
CSEJKA Gerhardt,2558
CUCU Stelian,1571
CUGNO Marco,5957
CRISTEA Stan V .,1501
CRISTESCU Maria-Luiza,7674
CRIŞAN Constantin,2405
CORNEA Andrei,5902
CORNEANU Leonid,1062
COSMA Anton,3581
COSTIN Sebastian,1918
COTRĂU Liviu,3727
CULEA Apostol D .,1852
BODEA Dan,2382
DUMITRESCU Mariana,2446
DUMITRESCU-BISTRIŢA Gheorghe N .,1441
BURAC Andrei,2046
BUSUIOC Aureliu,2461
BUTNARU Val Valeriu ,1492
BUZILĂ Boris,2012
BUZNEA George,2084
CARTOJAN Nicolae,9168
CASSIAN-MĂTĂSARU I . Iosif ,1015
CAVADIA Mircea,3388
CAZABAN Al . Alexandru ,3545
CAZIMIR Otilia,4247
CĂLIN Gheorghe,1921
CĂLIN Liviu,2275
CĂLIN Vera,5357
DANCIU PETNICEANU,4162
DANIEL Paul I .,3951
DARIE Pavel,1204
AARON Theodor,2149
AARON Vasile,5353
ACHIM George,3462
ÁCS Károly,1799
ACSINTEANU George,2556
ACTERIAN Jeni,5647
BACOVIA George,19865
BADEA Ștefan,2872
BAICAN Elie,778
BALAN Dumitru,833
CANTACUZINO G. M. George Mathei ,6335
BABEȘ Vincenţiu,1599
BABOI Stelian,2641
BABU Ovidia,1343
BACIU Camil,4801
ADAMEK Diana,3960
ADĂSCĂLIŢEI Vasile,3255
CANTEMIR Traian,1551
CANTILLI Constantin,1318
CANTUNIARI Ileana,1921
DAN Pavel,15769
CARMEN Sylva,5709
BALȘ Teodor,1743
BANEA Gheorghe,2017
BANTAȘ Ioana,2272
BANTOȘ Ana,1755
DEAL Alexandru,2082
DECUSARă-BOCŞAN Crina,1417
DEL CHIARO,442
CACIONA Tache,2189
CALAÏS Alexandru,1485
CIOCULESCU Simona,1552
CIORAN Emil,19132
CIORĂNESCU George,4550
CIORĂNESCU Ioan I .,2499
ANDREIŢĂ Ion,3350
ANDRIEŞ Andi,2080
ANGHEL Dimitrie,12941
ANGHELESCU Adrian,4874
ANANIA George,3468
ANANIA Valeriu,11048
ANCU Grigore,876
ANDERCO Cicio Simion,937
CIPRIAN G .,10515
CISTELECAN Al . Alexandru ,9120
ALUI GHEORGHE Adrian,6359
CHIRNOAGĂ Mihail,1875
CIOCAN Iulian,1887
CIOCANU Anatol,1508
CIOCÂRDIA MATILA Dimitrie,1730
CHIVU Gheorghe,3280
CIBOTARU Mihail Gh .,2051
BĂILEȘTEANU Jean,3523
ANTON Ion,1771
DUMITRESCU George,4072
DUMITRESCU- BUŞULENGA Zoe,8285
DUMITRIU Petru,29588
BENIUC Mihai,19974
BERDAN Lucia,2690
CONSTANTINESCU Pompiliu,14035
CORBASCA Vladimir,1656
CORBEA Teodor,2073
CORBU Haralambie,2340
AZAP Gheorghe,2295
DRUMUR George,3195
DUCHIŃSKA Seweryna,675
DUDA Gabriela,1714
DUDA Virgil,6223
DUDAŞ Florian,1262
CORDOȘ Sanda,5973
BELIGAN Marica,1188
BELIGAN Radu,169
BELLU Pavel,3259
BENADOR Ury,6750
BENEA Marcela,146
DRĂGANU Nicolae,7935
DRIMBA Ovidiu,4619
CONSTANTINESCU Pimen,2811
ASLAN Theodor,983
ATANASIU Gheorghe,2518
AVRAM Vasile,2846
AVRAMESCU Mihail,7082
BHOSE Amita,1469
ARMAŞU Liliana,2821
Armeanu V aleriu,2953
DRAGOSLAV Ion,2739
BRUMARU Emil,7945
BRUNEA-FOX F .,9404
BUCOV Emilian,1841
BUCŞA Petre,3025
BUCUR Cornelia,1607
BUCUR Romulus,5647
BUD Florica,2330
BUD Tit,1189
BRATOLOVEANU Liviu,3532
BRATU Savin,4243
BRĂDESCU Faust,3575
BREBAN Nicolae,17757
CULIANU Ioan,6479
CURUCI Leonid,1452
BOLLIAC Cezar,5111
BOTEZ Ioan ( Iancu ),2980
BOTEZ Octav,6699
BOTTA Emil,13160
BOIAGI Mihail G .,3624
BOITOR George,1978
BOIU Zaharia,1287
BOJAN Mariana,3330
BOJINCĂ Damaschin T. Toma ,3110
BUJOR Paul,3036
BULAT Eugenia,1089
BULAT Virgil,3631
BUMBEŞTI Gheorghe V .,3088
BRAGA Corin,7040
BRAN-LEMENY Ioan Alexandru,1759
BORZIN Aurelia,1007
BOT Ioana,6476
BOGDAN-DASCĂLU Doina,2094
BOGDAN-Piteşti Alexandru,3080
BANUȘ Maria,9663
BARBU Eugen,27719
DASCAL Mihai,3040
DAUŞ Ludovic,2861
DAVID Dan,3212
DAVIDESCU N. Nicolae ,10779
DAVIDOVICI Doru,1733
AGOPIAN Ştefan,16391
CĂRĂUȘ Tamara,1814
CĂRTĂRESCU Mircea,26558
CĂTINA Oana,4102
CÂNDEA Virgil,8816
DEŞLIU Valentin,1370
DIACONESCU Ioana,3326
DIACONESCU Romulus,3089
DIACONESCU Traian,4742
DIACONU Ion,5326
DIMA Al . Alexandru ,10732
DELEANU Nicolae,1680
DEMETRESCU Mihail,1110
DEMETRESCU Traian,3421
DEMETRIAN Bucur,1967
DENSUSIANU Ovid,10579
DENSUŞIANU Ovid fiul,3725
DEPĂRĂŢEANU Alexandru,3578
AILENEI Sergiu,4564
ALBOIU George,3016
ALEXANDRESCU Sică Vasile ,4479
ALEXANDRESCU Sorin,9846
ALEXANDRU Radu F .,3353
BARBU Vasile,2453
BARBU Zevedei,5557
BARIŢIU Ieronim G .,3286
BASILESCU Nicolae I .,1734
BASSARABESCU I.A . Ioan A . ,7667
CESEREANU Ruxandra,7311
CHICHERE Ion,1568
CHIMET Iordan,5571
CÂRNECI Magda,7098
CEHAN-RACOVIŢĂ Constantin,834
CELAN Paul,6259
CERNEA Gheorghe,1003
AL-GEORGE Vasile,1709
ALMĂJAN Slavco,4485
ALTERESCU Simion,1820
DIMITRIU-PĂUŞEŞTI Alexandru,1505
DOBROGEANU-GHEREA C. Constantin ,20575
DOBROŞINSCHI-MALAI Elena,579
DOINAŞ Ștefan Aug. Augustin ,25777
DOSOFTEI,17630
CIUPUREANU Ionel,2636
CIURA Alexandru,2716
CIUREA Doina,2557
CONSTANTIN Ilie,11090
CONSTANTINESCU loan,5610
COANDE Nicolae,3983
COCA Ghedeon,829
COCEA N.D. Nicolae D . ,6929
ANTONESCU Georgeta,3858
ANTONIADE C. Constantin ,5147
DOBRE Alexandru,3073
DOLGAN Mihail,3123
DOMOKOS Sámuel,3237
DONICI Radu ( Rostislav ),256
COLESNIC Iurie,1826
COMAN Dan,5733
CONDEESCU Dan Alexandru,2628
BELICOV Serafim,1311
ARBORE Grigore,2357
ARBORE Zamfir C .,2577
BÂRLĂDEANU Victor,1816
CROHMĂL­NICEANU Ov . S. Ovid S . ,15339
CROITORU Angela,3926
CRUŞEVAN Olga,812
CUCEU Maria,1494
CUGLER Grigore,4720
CULCER Dan,6067
BLEOCA Liviu,2593
BLOCK Igor,1135
BOBE T.O .,3561
BODIU Andrei,6312
DUNĂREANU Nicolae,2994
DUR Ion,6646
DUŢESCU-DUŢU Teodor,4866
CORN Sebastian A .,4513
COVAL Dumitru,1215
COZEA Liana,3826
COZMIN Marta,3347
CRAIA Sultana,2128
CRAMA Mihail,4718
CRĂCIUNAŞ Silviu,1740
CRĂSESCU Victor,3534
CRÂNGULEANU Ion,1529
BILEŢCHI-ALBESCU Ioan,2008
BIOLAN Toma,2716
BIRĂESCU Aquilina,916
BITAY Árpád,2754
CORNIŞ-POP Marcel,5114
COROBAN Vasile,2691
COSTACHE Veniamin,1494
COSTIN Nicolae,4111
COŞOVEI Traian T .,13345
CRISTEA Tudor,4239
CRIŞAN Nicolae,4249
CREŢU Nicolae,2431
CREŢU Stănuţa,3910
BURICEA Aurel M .,1409
BURLACU Alexandru,2747
BUZINSCHI Corneliu,1723
DANELIUC Mircea,7663
DANȚIȘ Gabriela,5385
ABĂLUŢĂ Constantin,5857
ACTERIAN Arşavir,2294
ADAM Ioan,5221
BAICULESCU George,3834
BAISKI Dușan,2295
BAIULESCU Maria,1655
BALABAN Mircea E .,3325
BALACCIU MATEI Jana,2276
BALAHUR Paul,1691
DABIJA Nicolae,5501
CABA Olga,3852
CABAC Nistor,420
CACOVEANU Viorel,4829
CALEDONIU Ovid,1954
CANCICOV Georgeta Mircea,3723
CANIANU Mihail,2795
CANTACUZINO Mihai,5456
BACALBAȘA Gheorghe,1186
BACALBAȘA Ion ( Iancu ) C .,1675
BACALOGLU Elena,2552
BACONSKY A. E. Anatol Emilian ,21873
BALMUȘ Constantin I .,3516
BALMUȘ Pavel,2179
BANCIU Mihail-Constantin,2775
BANCIU Paul Eugen,6093
BANU George,5712
DAMIAN S .,4838
DAN Dimitrie,1808
DAN Ilie,3751
DAN Ioan,4017
DAN Sergiu Pavel,5014
DĂNCIULESCU Sina ( Eufrosina ),1454
DĂNILĂ Simion,1778
DĂSCĂLESCU Dimitrie,1252
DEACONESCU Ion,2506
DELAVRANCEA Cella,3017
DELEANU Horia,2731
CARAGIALI Iorgu,2075
CARANDINO N. Nicolae ,5052
CARMEL Shaul,3022
CARPOV Maria,1925
CASSIAN Nina,8274
CAZABAN Theodor,3477
BARBORICĂ Corneliu,4337
DASCĂLU Bogdan Mihai,3294
DATCU Iordan,3676
BELDIE Constantin,4983
APETROAIE Ion,2012
APOSTOL Constantin,1713
APOSTOLESCU N. I . Nicolae I . ,5927
ARAMĂ Horia,5382
ARCHIP Ticu,8892
ARDELEANU Carol,5615
COCEA Sofia,1830
CODREANU Mihai,5077
CODREANU Theodor,6033
CODRESCU Teodor,647
CODRIN Şerban,2322
CODRU Anatol,2023
CODRU-DRĂGUŞANU Ion Germaniu,2958
COMAN Mihai,3655
COMARNESCU Petru,9641
COMĂNEANU Anca Delia,3197
COMŞA Ioan,1741
CONACHI Costache,6904
DOBRESCU Caius,7591
DOBRIAN Vasile,3891
DOINA Jela,3452
BĂRBULESCU Paul,1798
BĂRBULESCU Romulus,3481
BÂRLEA Ion,1857
BÂRLEA Ovidiu,8442
CONSTANTINESCU Emilian I .,3213
CONSTANTINESCU Leontin Jean,2833
BĂNULESCU Daniel,11818
DORIAN Dorel,3892
CIUBOTARU Silvia,2077
CIZEK Eugen,4397
BÂRSAN Zaharia,9506
BELCIU Maya,2980
DONICI Alecu ( Alexandru ),2580
DONICI Leon,4122
BOUREANU Radu,11190
BOUREANUL Eugen,2668
BOUTIÈRE Jean,389
BOZ Lucian,4787
BORBÉLY Ştefan,5249
BORNEMISA Sebastian,3791
BOSSUN Ştefan,756
BOSTAN Grigore C .,4179
BOSTAN Lora,1756
BOTE Lidia,2255
CUŞA Ioan,1451
CUTOVA Ioan,1637
CUZA A.C. Alexandru C . ,4141
CUZA Constantin,3050
CUZA Gheorghe A .,1207
BRĂDĂŢEANU Virgil,3825
BRĂTESCU-VOINEŞTI I. Al .,7302
BRETIN Rodica,1346
BURGHIU Iacob,1042
BURILEANU Dumitru N .,998
BURLĂNESCU-ALIN Nicolae,2574
BUZAŞI Ion,2030
BUZDUGAN Ion,1450
BRÎNZEU Pia,2301
BUCUROIU Valeriu,2641
BUDUCA Ioan,2776
BUDURESCU Nicolae M .,1639
BOTEZATU Eliza,1115
BOTEZATU Grigore,1680
BOTTEA Horia,1579
BUGARIN Grigore,1994
BULGĂR Gheorghe,3313
BUZNEA Iancu,1711
ADAME­ŞTEANU Gabriela,17098
CARAGIALE I. L. Ion Luca ,30670
DEMETRIESCU Anghel,2360
DEMETRIUS Lucia,9389
DENSUŞIANU Nicolae,4244
DESSILA Octav,3304
DEŞLIU Dan,4846
DIACONU Nicolae,2330
DIANU Romulus,5651
ALBANI Tiron,2739
ALECU Viorel,1777
ALEXANDRESCU Grigore,11053
BARBU N.I . Nicolae I . ,4459
BARIŢIU George,7434
BAROS Aurel Maria,3092
BATOVA Dimitrie,2525
CHELARIU Traian,6647
CHIFU Gabriel,4755
CĂPĂŢINEANU Stanciu,1331
CĂRARE Petru,2050
CĂTANĂ George,1330
DIMA-DRĂGAN Corneliu,994
DIMITRIU Eugen,3374
DIMITRIU I.G .,1590
CENUŞĂ Zinaida,778
ALEXIU Mircea,1243
BĂLAN Eugen,5006
BĂLĂCESCU Lucia Dem .,3444
BĂLĂIŢĂ George,14626
BĂLĂNESCU Gabriel,2860
ANDREI Gheorghe,856
ANDRIESCU Alexandru,4354
ANDRONESCU Madeleine,1930
ANGHELESCU Mircea,8861
CIOBANU Constantin Th .,3921
CIOBANU Radu,3091
CIOBANU Valeriu,2199
CIOCÂLTEU Vintilă,1594
CIOCÂRLIE Alexandra,3054
CHRISTI Aura,2270
CIMPOEŞU Petru,9463
CIOCOI Gheorghe,1418
CIOCULESCU Radu,1219
CIOFLEC Romulus,4081
BĂLTEANU Eugenia,3024
BĂLU Ion,1855
BĂNESCU Constantin Virgil,2395
CISEK Oscar Walter,12941
ANTONESCU Venera,1819
DINULESCU Puși ( Dumitru ),4330
CHIRIAC Alexandru,1248
CHIRILĂ George,2513
CHITIC Paul Cornel,2365
ARDELEANU Virgil,4734
ARGEŞANU Constantin,2260
DRAGHINCESCU Rodica,3432
DRAGOMIR Caius,2940
DRAGOMIR State,5868
DRAM Constantin,3298
DRăGAN Daniel,3729
BIANU Ioan,2522
ARGINTESCU-AMZA N. Nicolae ,1989
ARICESCU C.D . Constantin D . ,4986
ARIEŞAN Claudiu Teodor,1782
ARISTIA Costache ( Constantin ),4550
BERCEANU Patrel,2557
BEŞTELIU Marin,3229
BEZA Marcu,4271
BEZVICONI Gheorghe,2556
DRĂGĂNOIU Ion,2221
DRUMEŞ Mihail,4733
BELIMACE Constantin T .,1827
BELISTOV Vladimir,1047
BELLU Petre,2601
DUMA Radu,242
DUMBRAVă Bucura,3988
AVRAMESCU Lucian,3183
AXINTE Uricariul,619
DUMITRESCU George Dorul,2026
DUMITRESCU-MOVILEANU Ion,284
CONSTANTINIDIS Thea,2028
COPCEA Iorgu,1033
CORNEA Aureliu,2261
CORNEA Paul,11719
COROIU Constantin,2484
COSAŞU Radu,12364
COSMA Mihail,2560
COSMIN Radu,2146
COSTA Ioana,3849
COSTENCO Nicolai,5227
BLAZIAN H. Henri ,4542
CREMENE Mioara,5560
CREŢIA Petru,6482
CREŢU Bogdan,2850
CREŢU Grigore,6076
CREŢU Igor,1121
CREŢULESCU Ioana,2095
CREVEDIA N .,6834
BOGZA Geo,16173
BOKOR Petre,1935
BOLDAN Emil,1608
BOLDEA Iulian,2127
COSTIN Miron,11084
COŞOVEI Traian,2982
COTORE Gherontie,2770
COTOVU Sandra,2879
CRISTEA Dan,4526
CRISTEA Elie Miron,2785
CRISTESCU Florian,2797
CRISTIAN Sergiu,1058
CRISTOIU Ion,3118
DUNĂREANU Ovidiu,6759
CORDUN Miron,2661
CORESI Şerban,520
BOCET B .,553
BODNARU Adrian,3173
BOGDAN Elvira,1813
BOGDAN N.A . Nicolai Andriescu ,3125
BIEDRZYCKI Emil,2082
BIROU Virgil,2595
